,Sl. No.,State/UT,Total Number of active Vehicle as on 08.12.2021,Total number of active Electric Vehicles as on 08.12.2021
0,1,Andaman and Nicobar Island,143529,157
1,2,Arunachal Pradesh,235189,20
2,3,Assam,4445227,43707
3,4,Bihar,9816784,58655
4,5,Chandigarh,720272,1791
5,6,Chhattisgarh,6575832,11998
6,7,Delhi,12496058,126111
7,8,Goa,1036568,1315
8,9,Gujarat,19780771,13270
9,10,Haryana,10437108,24379
10,11,Himachal Pradesh,1897442,623
11,12,Jammu and Kashmir,1766726,1334
12,13,Jharkhand,6219796,11060
13,14,Karnataka,26196853,72018
14,15,Kerala,15348141,12109
15,16,Ladakh,34665,6
16,17,Maharashtra,29777450,53159
17,18,Manipur,461063,519
18,19,Meghalaya,437069,31
19,20,Mizoram,299550,18
20,21,Nagaland,323087,53
21,22,Odisha,9507366,10001
22,23,Puducherry,1186091,1393
23,24,Punjab,12128139,8190
24,25,Rajasthan,16711095,47480
25,26,Sikkim,90685,22
26,27,Tamil Nadu,28953331,45368
27,28,Tripura,629174,7146
28,29,Dadra and Nagar Haveli and Daman and Diu,297137,123
29,30,Uttarakhand,3227453,23524
30,31,Uttar Pradesh,38628929,258105
31,32,West Bengal,13600830,43432
32,Grand Total,Grand Total,273409410,877117
